Year,Mineral,Producer_region,Consumer_region,type,value
2017,bauxite,Oceania,Oceania,Domestic,0.1964356800587873
2017,bauxite,Oceania,Oceania,Embodied,1.0704905664888202e-07
2017,bauxite,Oceania,Rest of Asia,Embodied,0.0011525591284768323
2017,bauxite,Oceania,South America,Embodied,9.988748022252455e-05
2017,bauxite,Rest of Asia,Africa,Embodied,3.717597030212308e-06
2017,bauxite,Rest of Asia,China,Embodied,0.018314387183346676
2017,bauxite,Rest of Asia,Europe,Embodied,5.678371111255365e-05
2017,bauxite,Rest of Asia,GCC,Embodied,0.000650586991512956
2017,bauxite,Rest of Asia,North America,Embodied,1.5695276581649525e-05
2017,bauxite,Rest of Asia,Oceania,Embodied,7.842768046074211e-07
2017,bauxite,Rest of Asia,Rest of Asia,Domestic,0.09648863828584615
2017,bauxite,Rest of Asia,Rest of Asia,Embodied,0.0004421413257264282
2017,bauxite,Rest of Asia,South America,Embodied,2.1543632157044136e-05
2017,bauxite,South America,Africa,Embodied,4.1613970049789204e-06
2017,bauxite,South America,China,Embodied,0.013093407170688817
2017,bauxite,South America,Europe,Embodied,0.012506504126077444
2017,bauxite,South America,GCC,Embodied,2.162244471610083e-05
2017,bauxite,South America,North America,Embodied,0.017969517418651763
2017,bauxite,South America,Oceania,Embodied,1.5930263381026855e-06
2017,bauxite,South America,Rest of Asia,Embodied,0.0011874059614405067
2017,bauxite,South America,South America,Domestic,0.11703940628232602
2017,bauxite,South America,South America,Embodied,0.00013859552041546795
