Location,Stage,Score,Rel_Score,Year,Method_name,Midpoint,Midpoint_abb,Unit
ME,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HU,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ES,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
MZ,Alumina consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GLO,Alumina production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GR,Alumina production,928363148.3307251,0.0024516110103092624,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IR,Alumina production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RO,Alumina production,719396341.2410873,0.0018997738052550811,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AZ,Alumina production,286311149.2247099,0.000756087277996455,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BA,Alumina production,383770756.4410024,0.0010134575178013204,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RU,Alumina production,4709049142.0054245,0.012435604262605992,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SA,Alumina production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
US,Alumina production,4936881563.338905,0.013037261570579614,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BR,Alumina production,4851644788.852532,0.012812169250629408,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
FR,Alumina production,458890731.06006753,0.001211833505906187,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GB,Alumina production,108432592.89448589,0.0002863475775557187,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SK,Alumina production,147058255.6710308,0.0003883497954526051,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
JP,Alumina production,107824809.15737396,0.00028474254906609185,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
TR,Alumina production,313931562.4286833,0.0008290269560113662,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AU,Alumina production,13648770231.442228,0.03604351964718937,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
DE,Alumina production,1546161753.1488543,0.00408308665047142,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SI,Alumina production,83006896.9671676,0.0002192036843580293,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SR,Alumina production,1697122532.7236254,0.004481742187365409,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IN,Alumina production,4157135969.086526,0.010978118133502702,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CA,Alumina production,733397408.7476145,0.0019367476676028109,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
CN,Alumina production,21160067990.716637,0.05587927069079741,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
KZ,Alumina production,2424027592.179681,0.006401344931632368,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IT,Alumina production,972367123.5557119,0.002567816215516871,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ID,Alumina production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
UA,Alumina production,2364136942.665491,0.006243186374792224,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
VE,Alumina production,2122243715.5846283,0.005604397448393114,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ME,Alumina production,276013721.8230619,0.0007288939469803178,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
HU,Alumina production,274257865.9938968,0.0007242571025611516,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
ES,Alumina production,1444107761.234703,0.003813583610984534,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GN,Alumina production,1175394892.1171262,0.0031039696741054328,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IE,Alumina production,1631591110.5961287,0.004308687541349062,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
VN,Alumina production,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
JM,Alumina production,6003271809.152023,0.015853372994888846,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GLO,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
GR,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
IR,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RO,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
AZ,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
BA,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
RU,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
SA,Bauxite consumption,0.0,0.0,2000,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq
