Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year
ecoinvent 3.4 cutoff to edit,2d559051cc4741b598302ba4b0765e0c,alumina production,IR,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.006253656672554179,2000
ecoinvent 3.4 cutoff to edit,2d559051cc4741b598302ba4b0765e0c,alumina production,IR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.01468842051102484,2000
ecoinvent 3.4 cutoff to edit,e1dd332847ce4481a60b245d7a0f58bb,alumina production,RO,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237395598938975,2000
ecoinvent 3.4 cutoff to edit,e1dd332847ce4481a60b245d7a0f58bb,alumina production,RO,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641958715258057,2000
ecoinvent 3.4 cutoff to edit,e1dd332847ce4481a60b245d7a0f58bb,alumina production,RO,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0002017865749600207,2000
ecoinvent 3.4 cutoff to edit,e1dd332847ce4481a60b245d7a0f58bb,alumina production,RO,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.681313228816725e-07,2000
ecoinvent 3.4 cutoff to edit,e1dd332847ce4481a60b245d7a0f58bb,alumina production,RO,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.00415068970564146,2000
ecoinvent 3.4 cutoff to edit,e1dd332847ce4481a60b245d7a0f58bb,alumina production,RO,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.009553999357584116,2000
ecoinvent 3.4 cutoff to edit,21d5e717a2fc4f7c97e82ebca8b95e30,alumina production,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.6237832996284416,2000
ecoinvent 3.4 cutoff to edit,21d5e717a2fc4f7c97e82ebca8b95e30,alumina production,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.0005641675297150255,2000
ecoinvent 3.4 cutoff to edit,21d5e717a2fc4f7c97e82ebca8b95e30,alumina production,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00020178494601692527,2000
ecoinvent 3.4 cutoff to edit,21d5e717a2fc4f7c97e82ebca8b95e30,alumina production,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,2.681278608818072e-07,2000
ecoinvent 3.4 cutoff to edit,21d5e717a2fc4f7c97e82ebca8b95e30,alumina production,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.00415085292643382,2000
ecoinvent 3.4 cutoff to edit,21d5e717a2fc4f7c97e82ebca8b95e30,alumina production,DE,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.00955424403522673,2000
ecoinvent 3.4 cutoff to edit,18cb343a999c4841b2e9b8912898e376,alumina production,VE,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,1.3174666151376015,2000
ecoinvent 3.4 cutoff to edit,18cb343a999c4841b2e9b8912898e376,alumina production,VE,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.00042320579565418507,2000
ecoinvent 3.4 cutoff to edit,18cb343a999c4841b2e9b8912898e376,alumina production,VE,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.00014209307975633978,2000
