Database,Code,Name,Location,Unit,Amount_fu,Method_name,Midpoint,Midpoint_abb,Midpoint_unit,Score,Year,Type
ecoinvent 3.4 cutoff to edit,9d621cf9692b46c59ecc074e268545c6,"aluminium production, primary, ingot",GR,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.05595099905158275,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.42931884857833,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009107393383376383,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0030482755789633838,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,ozone depletion,ODPinf,kg CFC-11.,9.550140486443323e-07,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,photochemical oxidant formation,POFP,kg NMVOC-.,0.026277713886988824,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,0fd6266794554e4db62f6c2ddcc69e5c,"aluminium production, primary, ingot",SI,kilogram,1,ReCiPe Midpoint (H) V1.13,terrestrial acidification,TAP100,kg SO2-Eq,0.05595099905158275,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,23bd04ecabc5495ba04e4b0005e36b49,"aluminium production, primary, ingot",ES,kilogram,1,ReCiPe Midpoint (H) V1.13,climate change,GWP100,kg CO2-Eq,11.42931884857833,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,23bd04ecabc5495ba04e4b0005e36b49,"aluminium production, primary, ingot",ES,kilogram,1,ReCiPe Midpoint (H) V1.13,freshwater eutrophication,FEP,kg P-Eq,0.009107393383376383,2000,globalized_for_alumina
ecoinvent 3.4 cutoff to edit,23bd04ecabc5495ba04e4b0005e36b49,"aluminium production, primary, ingot",ES,kilogram,1,ReCiPe Midpoint (H) V1.13,marine eutrophication,MEP,kg N-Eq,0.0030482755789633838,2000,globalized_for_alumina
