Year,Category,Region,value
1993,DC,World,ND
1994,AC,World,15747
1994,DC,World,ND
1995,AC,World,15878
1995,DC,World,ND
1996,AC,World,15718
1996,DC,World,ND
1997,AC,World,15711
1997,DC,World,ND
1998,AC,World,15679
1998,DC,World,ND
1999,AC,World,15282
1999,DC,World,ND
2000,AC,World,15381
2000,DC,World,ND
2001,AC,World,15221
2001,DC,World,ND
2002,AC,World,15186
2002,DC,World,ND
2003,AC,World,15160
2003,DC,World,ND
2004,AC,World,15145
2004,DC,World,ND
2005,AC,World,15080
2005,DC,World,ND
2006,AC,World,15206
2006,DC,World,14286
2007,AC,World,15035
2007,DC,World,14129
2008,AC,World,15010
2008,DC,World,14116
2009,AC,World,14795
2009,DC,World,13943
2010,AC,World,14777
2010,DC,World,13858
2011,AC,World,14711
2011,DC,World,13854
2012,AC,World,14637
2012,DC,World,13756
2013,DC,World,13705
2013,AC,World,14560
2014,DC,World,13465
2014,AC,World,14289
2015,DC,World,13403
2015,AC,World,14239
2016,DC,Africa,13437
2016,DC,North America,13589
2016,DC,Asia (ex China),13789
2016,DC,South America,14630
2016,DC,Europe,14371
2016,DC,Oceania,13740
2016,DC,GCC,13664
2016,DC,China,12908
2016,DC,World,13374
2016,AC,Africa,14280
2016,AC,North America,15613
2016,AC,Asia (ex China),14767
2016,AC,South America,15944
2016,AC,Europe,15513
2016,AC,Oceania,14613
2016,AC,GCC,14868
2016,AC,China,13599
2016,AC,World,14305
2017,DC,Africa,13591
2017,DC,North America,13761
2017,DC,Asia (ex China),13672
2017,DC,South America,14375
2017,DC,Europe,14352
2017,DC,Oceania,13743
2017,DC,GCC,13826
2017,DC,China,12911
2017,DC,World,13360
2017,AC,Africa,13892
2017,AC,North America,14738
2017,AC,Asia (ex China),14751
2017,AC,South America,15159
2017,AC,Europe,15141
2017,AC,Oceania,14624
2017,AC,GCC,15252
2017,AC,China,13579
2017,AC,World,14161
