"Year","Region","ecoinvent_activity","value"
2012,"UN-OCEANIA","electricity production, coal, aluminium industry",0.754847908745247
2012,"GLO","electricity production, coal, aluminium industry",0.47864706073295
2013,"CA-QC","electricity production, coal, aluminium industry",0
2013,"CN","electricity production, coal, aluminium industry",0.899999177128563
2013,"IAI Area, Africa","electricity production, coal, aluminium industry",0.581855919744011
2013,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.359275637513484
2013,"IAI Area, South America","electricity production, coal, aluminium industry",0.00186192544996532
2013,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.95714076031117
2013,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2013,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.0622207211888185
2013,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.0622207211888185
2013,"UN-OCEANIA","electricity production, coal, aluminium industry",0.663747276688453
2013,"GLO","electricity production, coal, aluminium industry",0.49923636644778
2014,"CA-QC","electricity production, coal, aluminium industry",0
2014,"CN","electricity production, coal, aluminium industry",0.899999480516782
2014,"IAI Area, Africa","electricity production, coal, aluminium industry",0.499389081667563
2014,"IAI Area, North America, without Quebec","electricity production, coal, aluminium industry",0.403116902047577
2014,"IAI Area, South America","electricity production, coal, aluminium industry",0.00246691019498079
2014,"IAI Area, Asia, without China and GCC","electricity production, coal, aluminium industry",0.966591201125864
2014,"IAI Area, Gulf Cooperation Council","electricity production, coal, aluminium industry",0
2014,"IAI Area, EU27 & EFTA","electricity production, coal, aluminium industry",0.0604878221029494
2014,"IAI Area, Russia & RER w/o EU27 & EFTA","electricity production, coal, aluminium industry",0.0604878221029494
2014,"UN-OCEANIA","electricity production, coal, aluminium industry",0.741856136152107
