Year,Region,source,value
2014,South America,Gas,0.069861756
2014,Africa & Asia,Gas,0.008398669
2014,Europe,Gas,0.614560612
2014,Oceania,Gas,0.580635869
2014,GLO,Gas,0.262314175
2015,North America,Gas,0.698683798
2015,China,Gas,0.126001853
2015,South America,Gas,0.067969422
2015,Africa & Asia,Gas,0.007117636
2015,Europe,Gas,0.715467685
2015,Oceania,Gas,0.604521023
2015,GLO,Gas,0.260257163
2016,North America,Gas,0.673307817
2016,China,Gas,0.126001853
2016,South America,Gas,0.053886
2016,Africa & Asia,Gas,0.008921243
2016,Europe,Gas,0.948819871
2016,Oceania,Gas,0.591078744
2016,GLO,Gas,0.277681036
2017,North America,Gas,0.932834491
2017,China,Gas,0.126001853
2017,South America,Gas,0.0538383
2017,Africa & Asia,Gas,0.158182619
2017,Europe,Gas,0.951061642
2017,Oceania,Gas,0.595207709
2017,GLO,Gas,0.273415917
2018,North America,Gas,0.798777983
2018,China,Gas,0.126001853
2018,South America,Gas,0.066914453
2018,Africa & Asia,Gas,0.201190185
2018,Europe,Gas,0.85676245
2018,Oceania,Gas,0.591780499
2018,GLO,Gas,0.266050714
1985,North America,Electricity,0.099066171
1985,China,Electricity,0
1985,South America,Electricity,0.105148719
1985,Africa & Asia,Electricity,0.095343245
1985,Europe,Electricity,0.18119139
1985,Oceania,Electricity,0.043396983
1985,GLO,Electricity,0.089066638
1986,North America,Electricity,0.095557944
1986,China,Electricity,0
1986,South America,Electricity,0.06307234
1986,Africa & Asia,Electricity,0.077233924
1986,Europe,Electricity,0.17578125
1986,Oceania,Electricity,0.010502171
1986,GLO,Electricity,0.066690194
1987,North America,Electricity,0.036690647
1987,China,Electricity,0
1987,South America,Electricity,0.058946351
1987,Africa & Asia,Electricity,0.069116159
1987,Europe,Electricity,0.172052834
1987,Oceania,Electricity,0.048389602
1987,GLO,Electricity,0.069920196
1988,North America,Electricity,0.006321848
1988,China,Electricity,0
1988,South America,Electricity,0.074615622
1988,Africa & Asia,Electricity,0.079166104
1988,Europe,Electricity,0.176204732
1988,Oceania,Electricity,0.049235442
1988,GLO,Electricity,0.068061918
1989,North America,Electricity,0.002388994
1989,China,Electricity,0
1989,South America,Electricity,0.062480389
1989,Africa & Asia,Electricity,0.068832293
1989,Europe,Electricity,0.158948155
1989,Oceania,Electricity,0.050894801
1989,GLO,Electricity,0.059827851
1990,North America,Electricity,0.014617691
1990,China,Electricity,0
1990,South America,Electricity,0.071691403
1990,Africa & Asia,Electricity,0.063423795
1990,Europe,Electricity,0.154297248
1990,Oceania,Electricity,0.055552476
1990,GLO,Electricity,0.064368317
1991,North America,Electricity,0.017924476
1991,China,Electricity,0
1991,South America,Electricity,0.066878781
1991,Africa & Asia,Electricity,0.062259249
1991,Europe,Electricity,0.148798348
1991,Oceania,Electricity,0.056273671
1991,GLO,Electricity,0.064680272
1992,North America,Electricity,0.019238879
1992,China,Electricity,0
1992,South America,Electricity,0.070106568
1992,Africa & Asia,Electricity,0.059391685
1992,Europe,Electricity,0.142548902
1992,Oceania,Electricity,0.051954743
1992,GLO,Electricity,0.064040071
1993,North America,Electricity,0.041063956
1993,China,Electricity,0
1993,South America,Electricity,0.076556898
1993,Africa & Asia,Electricity,0.052183114
1993,Europe,Electricity,0.159352372
1993,Oceania,Electricity,0.051160532
1993,GLO,Electricity,0.071424893
1994,North America,Electricity,0.05114412
1994,China,Electricity,0
1994,South America,Electricity,0.062556821
1994,Africa & Asia,Electricity,0.049660159
1994,Europe,Electricity,0.167425906
1994,Oceania,Electricity,0.049723981
1994,GLO,Electricity,0.069348634
1995,North America,Electricity,0.076643296
1995,China,Electricity,0
1995,South America,Electricity,0.044529637
1995,Africa & Asia,Electricity,0.054111774
1995,Europe,Electricity,0.163035888
1995,Oceania,Electricity,0.046655086
1995,GLO,Electricity,0.067280899
1996,North America,Electricity,0.03692157
1996,China,Electricity,0
1996,South America,Electricity,0.055725386
1996,Africa & Asia,Electricity,0.053847414
1996,Europe,Electricity,0.162347065
1996,Oceania,Electricity,0.046082056
1996,GLO,Electricity,0.060866664
1997,North America,Electricity,0.063754221
1997,China,Electricity,0
1997,South America,Electricity,0.062970534
1997,Africa & Asia,Electricity,0.055396081
1997,Europe,Electricity,0.155530021
1997,Oceania,Electricity,0.044485864
1997,GLO,Electricity,0.066390266
1998,North America,Electricity,0.070406022
1998,China,Electricity,0.093700112
1998,South America,Electricity,0.053185682
1998,Africa & Asia,Electricity,0.082747793
1998,Europe,Electricity,0.156288274
1998,Oceania,Electricity,0.045733663
1998,GLO,Electricity,0.071911863
1999,North America,Electricity,0.075647162
1999,China,Electricity,0.093701527
1999,South America,Electricity,0.038306531
1999,Africa & Asia,Electricity,0.074037143
1999,Europe,Electricity,0.151414625
1999,Oceania,Electricity,0.045983084
1999,GLO,Electricity,0.068645586
2000,North America,Electricity,0.092208069
2000,China,Electricity,0.093702823
2000,South America,Electricity,0.030121934
2000,Africa & Asia,Electricity,0.076578343
2000,Europe,Electricity,0.151163323
2000,Oceania,Electricity,0.04428542
2000,GLO,Electricity,0.067698172
2001,North America,Electricity,0.098485231
2001,China,Electricity,0.093702823
2001,South America,Electricity,0.031389502
2001,Africa & Asia,Electricity,0.019171881
2001,Europe,Electricity,0.152163092
2001,Oceania,Electricity,0.034524877
2001,GLO,Electricity,0.062208749
2002,North America,Electricity,0.098485231
2002,China,Electricity,0.093702823
